LISTING_URL,BRAND,PRICE,DEPRE_VALUE_PER_YEAR,REG_DATE,MILEAGE_KM,MANUFACTURED_YEAR,ROAD_TAX_PER_YEAR,TRANSMISSION,DEREG_VALUE_FROM_SCRAPE_DATE,SCRAPE_DATE,OMV,ARF,COE_FROM_SCRAPE_DATE,DAYS_OF_COE_LEFT,ENGINE_CAPACITY_CC,CURB_WEIGHT_KG,NO_OF_OWNERS,VEHICLE_TYPE
https://www.sgcarmart.com/used_cars/info.php?ID=826926&DL=1337,Toyota,205800.0,18240.0,14-May-2019,18.0,2019,1792.0,Auto,84760.0,23/10/2019,50434.0,62782.0,39401.0,3465.0,2493,,1.0,MPV
https://www.sgcarmart.com/used_cars/info.php?ID=862583&DL=3048,Toyota,31800.0,6430.0,01-Oct-2009,107000.0,2009,742.0,Auto,14573.0,23/10/2019,17853.0,17853.0,14743.0,1497.0,1598,1195.0,3.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=845727&DL=3492,Mitsubishi,81800.0,9910.0,23-Jan-2008,,2007,1331.0,Manual,43149.0,23/10/2019,37899.0,41689.0,52271.0,2980.0,1998,1520.0,6.0,Sports Car
https://www.sgcarmart.com/used_cars/info.php?ID=863038&DL=1000,Toyota,88999.0,10550.0,26-Dec-2017,12056.0,2017,,Auto,43335.0,23/10/2019,31020.0,5428.0,48011.0,2982.0,1797,1440.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=863187&DL=2133,Nissan,52800.0,8600.0,28-May-2015,25642.0,2015,70.0,Auto,35359.0,23/10/2019,19382.0,9382.0,50601.0,2039.0,1197,1285.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=858034&DL=3588,Volkswagen,35800.0,7150.0,20-Apr-2010,97000.0,2010,620.0,Auto,,23/10/2019,23899.0,23899.0,,1825.0,1390,1285.0,3.0,Sports Car
https://www.sgcarmart.com/used_cars/info.php?ID=862579&DL=3103,Volkswagen,72988.0,9660.0,26-Oct-2016,30000.0,2015,624.0,Auto,43672.0,23/10/2019,20402.0,10563.0,50991.0,2557.0,1395,1249.0,1.0,Hatchback
https://www.sgcarmart.com/used_cars/info.php?ID=863459&DL=3210,Mercedes-Benz,103800.0,17100.0,28-May-2014,90000.0,2013,1202.0,Auto,66547.0,23/10/2019,45243.0,50341.0,68103.0,1674.0,1991,1615.0,1.0,Sports Car
https://www.sgcarmart.com/used_cars/info.php?ID=857025&DL=2953,Subaru,82800.0,9560.0,30-Sep-2017,28000.0,2017,1208.0,Auto,49363.0,23/10/2019,13744.0,13744.0,49189.0,2591.0,1995,1591.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=861757&DL=2440,BMW,71800.0,11100.0,29-May-2015,90000.0,2014,742.0,Auto,58132.0,23/10/2019,26620.0,19268.0,78001.0,2040.0,1598,1405.0,1.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=827916&DL=1000,Mercedes-Benz,163800.0,18480.0,06-Feb-2017,49500.0,2016,1202.0,Auto,82062.0,23/10/2019,47190.0,58066.0,52807.0,2648.0,1991,1785.0,1.0,SUV
https://www.sgcarmart.com/used_cars/info.php?ID=862836&DL=3382,Chevrolet,29998.0,8410.0,27-Jul-2012,112901.0,2011,742.0,Auto,27088.0,23/10/2019,13577.0,13577.0,68656.0,1003.0,1598,1388.0,2.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=862770&DL=2541,BMW,134800.0,26120.0,27-Feb-2013,76000.0,2012,4568.0,Auto,93524.0,23/10/2019,94694.0,94694.0,95501.0,1218.0,4395,1795.0,2.0,Sports Car
https://www.sgcarmart.com/used_cars/info.php?ID=858767&DL=1172,Nissan,73800.0,9350.0,27-Apr-2016,59234.0,2015,1210.0,Auto,51711.0,23/10/2019,24198.0,25878.0,49602.0,2373.0,1997,1470.0,1.0,Luxury Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=857844&DL=3345,Toyota,27800.0,5780.0,13-Aug-2009,155052.0,2009,684.0,Manual,14102.0,23/10/2019,11860.0,11860.0,14664.0,1730.0,1497,1075.0,1.0,Mid-Sized Sedan
https://www.sgcarmart.com/used_cars/info.php?ID=858109&DL=3126,Mercedes-Benz,75800.0,13800.0,08-Aug-2014,76000.0,2014,740.0,Auto,43218.0,23/10/2019,26629.0,19281.0,61990.0,1735.0,1595,1430.0,1.0,Luxury Sedan
